date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2025-04-28 00:00,-34.98,0,4730.76,10415.19,16.9,0,74.83,664.49,91.43,121.47,42.65,39.28,1462.15,2437.29,0.29,0,2825.45,4690.98,0.32,0,21.54,143.77,30.45,35.82,13.04,773.75,111.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 00:30,-38.61,0,4737.32,10253.57,16.91,-0.02,59.83,672.04,113.75,81.89,43.57,76.89,1363.71,2318.96,0.29,0,2829.22,4611.99,0.32,0,17.23,145.07,38.65,24.15,13.3,779.68,106.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 01:00,-22.32,0,4719.46,10160.15,16.95,0,59.33,682.62,145.36,81.15,47.18,61.17,1159.16,2203.03,0.28,0,2818.8,4571.41,0.32,0,17.08,146.96,50.15,23.93,14.46,791.48,114.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 01:30,-48.43,0,4734.48,9857.31,17.03,0,60.33,651.66,155.52,81.05,47.14,86.45,1110.13,2171.18,0.28,0,2827.58,4426.79,0.32,0,17.37,141.28,53.86,23.9,14.44,793.22,83.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 02:00,-129.71,0,4724.75,9688.41,17.04,-0.05,59.5,642.09,145.49,100.57,47.2,83.68,1037.41,2141.53,0.28,0,2821.92,4349.31,0.32,0,17.13,139.63,50.19,29.65,14.46,799.93,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 02:30,-260.1,0,4722.38,9653.17,16.93,0,59.33,549.03,96.08,103.76,45.78,130.57,1014.56,2183.92,0.28,0,2820.37,4333.17,0.32,0,17.08,122.15,32.24,30.59,14.03,804.77,85.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 03:00,-169.95,0,4742.57,9451.67,16.97,0,61.17,563.12,91.49,121.11,43.65,58.68,992.4,2216.3,0.28,0,2832.27,4243.83,0.32,0,17.61,124.99,30.58,35.71,13.39,802.52,81.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 03:30,-151.34,0,4731.41,9427.04,17,0,59.5,557.47,150.54,115.35,43.42,47.32,979.15,2170.74,0.28,0,2825.74,4232.84,0.32,0,17.13,123.8,52.11,34.01,13.32,804.42,84.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 04:00,-137.72,0,4733.54,9401.98,17.03,-0.02,60.17,552.72,151,104.11,44.1,38.63,972.62,2114.96,0.28,0,2827.04,4222.21,0.32,0,17.32,122.92,52.27,30.7,13.54,807.19,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 04:30,-28.34,0,4730.56,9586.4,16.96,0,59.83,555.08,153.38,80.55,46.02,6.08,992.4,2108.92,0.28,0,2825.21,4308.12,0.32,0,17.23,123.37,53.18,23.75,14.09,804.59,91.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 05:00,-9.67,0,4740.03,9850.94,18.04,0,60.5,565.14,149.68,81.73,44.56,26.31,1040.11,1983.65,0.18,0,2830.77,4431.65,0.34,0,17.42,125.4,51.87,24.1,13.62,808.05,102.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
