date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2025-04-28 00:00,-10.65,0,-256.92,0,5277.67,-0.7,0,139.94,0.12,42.65,2.54,86.08,491.69,0.25,0,20.67,102.66,0,2358.2,0,0,42.88,0.03,13.04,800.84,116.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 00:30,-21.13,0,-154.99,0,5163.18,-0.7,0,139.41,0.12,43.57,11.01,86.2,490.4,0.25,0,20.58,61.56,0,2302.68,0,0,42.72,0.03,13.3,798,113.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 01:00,-8.41,0,-237.78,0,5137.88,-0.6,0,140.1,0.12,47.18,1.07,86,523.23,0.25,0,20.41,94.06,0,2290.92,0,0,42.93,0.03,14.46,792.5,113.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 01:30,-2.06,0,-194.07,0,4966.56,-0.6,0,140.4,0.12,47.14,12.42,86.15,534.91,0.25,0,20.14,76.02,0,2208.83,0,0,43.02,0.03,14.44,783.48,87.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 02:00,-27.11,0,-177.88,0,4881.02,-0.6,0,140.03,0.12,47.2,11.11,86.03,576.6,0.25,0,19.98,68.95,0,2169.03,0,0,42.91,0.03,14.46,779.33,91.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 02:30,-53.49,0,-196.2,0,4873.19,-0.6,0,139.92,0.12,45.78,5.21,86.07,629.55,0.25,0,19.67,75.43,0,2165.13,0,0,42.88,0.03,14.03,776.39,85.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 03:00,-42.89,0,-210.43,0,4838.52,-0.6,0,140,0.12,43.65,7.99,86.23,655.75,0.25,0,19.55,80.43,0,2150.18,0,0,42.9,0.03,13.39,770.51,83.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 03:30,-33.77,0,-267.77,0,4834.65,-0.6,0,139.49,0.12,43.42,28.9,86.09,668.52,0.25,0,19.11,102.09,0,2148.4,0,0,42.75,0.03,13.32,764.61,84.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 04:00,-31.69,0,-277.43,0,4817.44,-0.6,0,140.28,0.12,44.1,7.61,86.05,660.91,0.25,0,19.08,105.83,0,2141.12,0,0,42.99,0.03,13.54,768.07,81.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 04:30,-2.2,0,-284.76,0,4924.03,-0.67,0,140.04,0.12,46.02,0.74,86.08,684.44,0.25,0,19.1,108.53,0,2188.92,0,0,42.91,0.03,14.09,764.17,93.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 05:00,-1.06,0,-321.11,0,5063.28,-0.8,0,140.06,0.12,44.56,11.2,86.16,713.95,0.15,0,19.09,122.23,0,2255.27,0,0,42.92,0.03,13.62,763.39,100.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 05:30,-0.61,0,-332.07,0,5248.29,-0.83,0,140.14,0.12,43.59,20.4,86.27,730.16,0.15,0,19.02,126.89,0,2344.11,0,0,42.95,0.03,13.31,766.06,111.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 06:00,-1.55,0,-295.16,0,5292.21,-1.05,0,139.85,0.12,43.55,80.13,86.06,734.9,0.15,1.72,19.01,112.11,0,2365.83,0,0,42.86,0.03,13.3,759.72,113.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 06:30,-0.3,0,-289.91,0,5382.9,-1.2,0,139.82,0.12,45.23,218.91,147.19,715.1,9.01,34.13,19.1,107.08,0,2406.09,0,0,42.85,0.03,13.83,736.05,147.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 07:00,-0.16,0,-479.75,0,5394.06,-1.2,0,139.08,0.12,44.43,179.36,305.07,701.19,259.79,229.52,19.33,168.33,0,2411.58,0,0,42.62,0.03,13.58,679.16,129.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 07:30,-1.12,0,-483.61,0,5112.66,-1.23,0,130.5,0.12,44.21,71.52,86.16,609.4,858.6,667.8,20.03,163.21,0,2280.32,0,0,39.99,0.03,13.5,611.88,82.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 08:00,-10.07,0,-611.78,0,4362.13,-1.38,0,129.68,0.12,46.5,5.58,85.52,511.82,1483.51,1248.61,20.75,183.56,0,1942.01,0,0,39.74,0.03,14.23,499.97,44.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 08:30,-21.82,-246.03,-685.37,0,4013.78,-1.32,0,130.1,0.12,47,21.05,86.14,400.94,1922.06,1873.75,21.52,190.79,0,1783.19,0,0,39.87,0.03,14.4,436.77,49.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 09:00,-23.53,-451.86,-1044.76,0,3829.07,-1.3,0,124.75,0.12,47.03,16.02,86.19,295.59,2307.81,2468.19,22.12,256.34,0,1703.57,0,0,38.23,0.03,14.41,391.96,-18.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 09:30,-216.11,-490.66,-1031.58,0,3527.59,-1.3,0,119.98,0.12,47.08,5.19,76.27,319.63,2471.19,3002.06,22.4,237.28,0,1570.89,0,0,36.76,0.03,14.43,353.75,-14.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 10:00,-282.24,-489.14,-982.54,0,3347.17,-1.28,0,119.84,0.12,46.14,0.09,20.47,347.11,2389.66,3436.13,22.8,223.96,0,1489.83,0,0,36.72,0.03,14.13,331.19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 10:30,-283.16,-489.23,-968.54,0,3272.96,-1.37,0,119.82,0.12,44.96,0,15.22,302.75,2356.32,3777.4,23.52,221.14,0,1456.9,0,0,36.71,0.03,13.81,315.77,-22.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 11:00,-270.6,-488.13,-962.27,0,3253.14,-1.27,0,116.32,0.12,45.36,0,4.52,276.89,2312.92,3988.6,24.15,221.75,0,1448.33,0,0,35.64,0.03,13.94,308.42,-22.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 11:30,-238.97,-488.42,-894.54,0,3247.21,-1.4,0,115.8,0.12,44.12,0,4.49,267.02,2232.74,4098.99,24.73,211.84,0,1445.68,0,0,35.48,0.03,13.59,305.93,-22.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 12:00,-156.01,-487.61,-882.36,0,3272.2,-1.35,0,115.31,0.12,46.25,0.08,4.59,262.58,2150.94,4124.74,25.08,209.58,0,1456.74,0,0,35.33,0.03,14.19,306.93,-21.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 12:30,-126.53,-487.25,-919.76,0,3244.66,-1.4,0,115.27,0.12,46.45,0.01,4.4,275.04,2256.61,4082.91,25.47,213.71,0,1444.58,0,0,35.32,0.03,14.25,301.62,-21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-04-28 13:00,-82.72,-485.47,-910.11,0,3258.68,-1.35,0,113.72,0.12,46.34,0.88,4.5,282.43,2326.78,3920.53,25.86,209.34,0,1450.74,0,0,34.84,0.03,14.21,304.57,-21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
