Name,Type,Azimuth,Profile,Tilt,Width (m),Height (m),Capture Area (m2),Efficiency
N2,BALCONY,0,BACKED,25,7.9756,2.3,18.34388,0.0936
N1,BALCONY,0,NW_BALCONY,25,7.4676,2.3,17.17548,0.0936
N3,BALCONY,0,NE_BALCONY,25,7.4676,2.3,17.17548,0.0936
E1,FACADE,90,BACKED,90,5.7912,2.8448,16.47480576,0.22
E2,BALCONY,90,BACKED,25,3.6576,2.3,8.41248,0.0936
E3,FACADE,90,BACKED,90,4.8768,2.8448,13.87352064,0.22
E4,BALCONY,90,BACKED,90,9.4488,2.8448,26.87994624,0.17
E5,FACADE,90,BACKED,90,4.8768,2.8448,13.87352064,0.22
E6,FACADE,90,BACKED,90,5.7404,2.8448,16.33028992,0.22
W1,FACADE,270,BACKED,90,5.7912,2.8448,16.47480576,0.22
W2,BALCONY,270,BACKED,25,3.6576,2.3,8.41248,0.0936
W3,FACADE,270,BACKED,90,4.8768,2.8448,13.87352064,0.22
W4,BALCONY,270,BACKED,90,9.4488,2.8448,26.87994624,0.17
W5,FACADE,270,BACKED,90,4.8768,2.8448,13.87352064,0.22
W6,FACADE,270,BACKED,90,5.7404,2.8448,16.33028992,0.22
